year,weekNumber,location,price_per_kg,product,variety,description
2024,46,European Union,1.1819,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2024,46,European Union,0.675,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2024,46,European Union,1.2487,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2024,46,European Union,1.3431,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2024,46,European Union,1.4632,oranges,navel,European Union - oranges - navel
2024,46,Greece,0.675,oranges,Valencia late - Cat. I - Cal. 2-4,Greece - oranges - Valencia late - Cat. I - Cal. 2-4
2024,46,Greece,0.8888,clementines,Cat. I - Cal. 1x-2,Greece - clementines - Cat. I - Cal. 1x-2
2024,46,Greece,0.7875,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2024,46,Italy,1.4632,oranges,navel,Italy - oranges - navel
2024,46,Italy,1.4158,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2024,46,Italy,1.732,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2024,46,Spain,1.1842,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2024,46,Spain,1.188,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2024,46,Spain,1.212,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2024,45,European Union,1.4145,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2024,45,European Union,1.4632,oranges,navel,European Union - oranges - navel
2024,45,European Union,0.7396,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2024,45,European Union,1.2465,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2024,45,European Union,1.1041,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2024,45,Greece,0.9619,clementines,Cat. I - Cal. 1x-2,Greece - clementines - Cat. I - Cal. 1x-2
2024,45,Greece,0.7088,oranges,Valencia late - Cat. I - Cal. 2-4,Greece - oranges - Valencia late - Cat. I - Cal. 2-4
2024,45,Greece,0.8606,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2024,45,Italy,1.9412,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2024,45,Italy,1.4282,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2024,45,Italy,1.4632,oranges,navel,Italy - oranges - navel
2024,45,Spain,1.1965,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2024,45,Spain,1.1714,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2024,45,Spain,1.1093,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2024,44,European Union,1.2838,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2024,44,European Union,1.5151,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2024,44,European Union,0.7505,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2024,44,European Union,1.103,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2024,44,Greece,0.8775,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2024,44,Greece,0.72,oranges,Valencia late - Cat. I - Cal. 2-4,Greece - oranges - Valencia late - Cat. I - Cal. 2-4
2024,44,Italy,1.5167,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2024,44,Italy,1.9655,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2024,44,Spain,1.2119,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2024,44,Spain,1.1085,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2024,44,Spain,1.2411,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2024,43,European Union,0.7749,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2024,43,European Union,1.1676,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2024,43,European Union,1.5574,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2024,43,European Union,1.3212,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2024,43,Greece,0.7538,oranges,Valencia late - Cat. I - Cal. 2-4,Greece - oranges - Valencia late - Cat. I - Cal. 2-4
2024,43,Greece,0.9056,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2024,43,Italy,1.9899,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2024,43,Italy,1.5217,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2024,43,Spain,1.171,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2024,43,Spain,1.2942,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2024,43,Spain,1.265,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2024,42,European Union,1.326,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2024,42,European Union,0.7667,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2024,42,European Union,1.1192,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2024,42,European Union,1.5622,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2024,42,Greece,0.7425,oranges,Valencia late - Cat. I - Cal. 2-4,Greece - oranges - Valencia late - Cat. I - Cal. 2-4
2024,42,Greece,0.9821,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2024,42,Italy,1.5217,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2024,42,Italy,1.9777,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2024,42,Spain,1.2658,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2024,42,Spain,1.1178,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2024,42,Spain,1.3094,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2024,41,European Union,1.3864,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2024,41,European Union,1.0909,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2024,41,European Union,0.7602,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2024,41,European Union,1.3836,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2024,41,Greece,1.0125,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2024,41,Greece,0.7335,oranges,Valencia late - Cat. I - Cal. 2-4,Greece - oranges - Valencia late - Cat. I - Cal. 2-4
2024,41,Italy,1.3778,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2024,41,Italy,1.55,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2024,41,Spain,1.0922,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2024,41,Spain,1.4189,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2024,41,Spain,1.2868,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2024,40,European Union,1.4343,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2024,40,European Union,1.1496,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2024,40,European Union,1.3799,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2024,40,European Union,0.7455,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2024,40,Greece,1.0575,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2024,40,Greece,0.72,oranges,Valencia late - Cat. I - Cal. 2-4,Greece - oranges - Valencia late - Cat. I - Cal. 2-4
