PartnerCountry,Year,fruit,AVE
Egypt,2007,clementines,0.04922183975577354
Egypt,2007,lemons,0.07334109395742416
Egypt,2007,mandarins,0.04922183975577354
Egypt,2007,oranges,0.1601693034172058
Egypt,2008,clementines,0.0
Egypt,2008,lemons,0.08392617106437683
Egypt,2008,mandarins,0.0
Egypt,2008,oranges,0.1512549817562103
Egypt,2009,clementines,0.0
Egypt,2009,lemons,0.08900000154972076
Egypt,2009,mandarins,0.0
Egypt,2009,oranges,0.02099999971687794
Egypt,2010,clementines,0.0
Egypt,2010,lemons,0.0859886109828949
Egypt,2010,mandarins,0.0
Egypt,2010,oranges,0.0
Egypt,2011,clementines,0.0
Egypt,2011,lemons,0.06804905831813812
Egypt,2011,mandarins,0.0
Egypt,2011,oranges,0.0
Egypt,2012,clementines,0.04062385112047195
Egypt,2012,lemons,0.04958677664399147
Egypt,2012,mandarins,0.04062385112047195
Egypt,2012,oranges,0.0447767861187458
Egypt,2013,clementines,0.0
Egypt,2013,lemons,0.0566588006913662
Egypt,2013,mandarins,0.0
Egypt,2013,oranges,0.07534150034189224
Egypt,2014,clementines,0.0
Egypt,2014,lemons,0.06661752611398697
Egypt,2014,mandarins,0.0
Egypt,2014,oranges,0.07588847726583481
Egypt,2015,clementines,0.0
Egypt,2015,lemons,0.04556753858923912
Egypt,2015,mandarins,0.0
Egypt,2015,oranges,0.05868013575673103
Egypt,2016,clementines,0.0
Egypt,2016,lemons,0.05143364518880844
Egypt,2016,mandarins,0.0
Egypt,2016,oranges,0.0
Egypt,2017,clementines,0.0
Egypt,2017,lemons,0.0501183308660984
Egypt,2017,mandarins,0.0
Egypt,2017,oranges,0.057882159948349
Egypt,2018,clementines,0.0
Egypt,2018,lemons,0.04936498776078224
Egypt,2018,mandarins,0.0
Egypt,2018,oranges,0.06713518500328064
Egypt,2019,clementines,0.0
Egypt,2019,lemons,0.03763344883918762
Egypt,2019,mandarins,0.0
Egypt,2019,oranges,0.06424389034509659
Egypt,2020,clementines,0.05389248579740524
Egypt,2020,lemons,0.04562488198280334
Egypt,2020,mandarins,0.03204131871461868
Egypt,2020,oranges,0.0
Egypt,2021,clementines,0.05024495720863342
Egypt,2021,lemons,0.04718973487615585
Egypt,2021,mandarins,0.03029400855302811
Egypt,2021,oranges,0.0688248723745346
Egypt,2022,clementines,0.0
Egypt,2022,lemons,0.04935707896947861
Egypt,2022,mandarins,0.0
Egypt,2022,oranges,0.06416208297014236
Egypt,2023,clementines,0.0
Egypt,2023,lemons,0.0588
Egypt,2023,mandarins,0.0
Egypt,2023,oranges,0.0
Egypt,2024,clementines,0.0
Egypt,2024,lemons,0.04501
Egypt,2024,mandarins,0.0
Egypt,2024,oranges,0.0
South Africa,2007,clementines,0.1292218416929245
South Africa,2007,lemons,0.1314661055803299
South Africa,2007,mandarins,0.1292218416929245
South Africa,2007,oranges,0.2538163661956787
South Africa,2008,clementines,0.04600000008940697
South Africa,2008,lemons,0.138801172375679
South Africa,2008,mandarins,0.04600000008940697
South Africa,2008,oranges,0.2121373265981674
South Africa,2009,clementines,0.01600000075995922
South Africa,2009,lemons,0.1472148001194
South Africa,2009,mandarins,0.01600000075995922
South Africa,2009,oranges,0.004999999888241291
South Africa,2010,clementines,0.0
South Africa,2010,lemons,0.1393219530582428
South Africa,2010,mandarins,0.0
South Africa,2010,oranges,0.0
South Africa,2011,clementines,0.0
South Africa,2011,lemons,0.1213823929429054
South Africa,2011,mandarins,0.0
South Africa,2011,oranges,0.0
South Africa,2012,clementines,0.04062385112047195
South Africa,2012,lemons,0.09758678078651428
South Africa,2012,mandarins,0.04062385112047195
South Africa,2012,oranges,0.2000709027051926
South Africa,2013,clementines,0.0
South Africa,2013,lemons,0.1099921390414238
South Africa,2013,mandarins,0.0
South Africa,2013,oranges,0.1219297349452972
South Africa,2014,clementines,0.0
South Africa,2014,lemons,0.1199508607387543
South Africa,2014,mandarins,0.0
South Africa,2014,oranges,0.1224767118692398
South Africa,2015,clementines,0.0
South Africa,2015,lemons,0.09356754273176193
South Africa,2015,mandarins,0.0
South Africa,2015,oranges,0.1596213132143021
South Africa,2016,clementines,0.0
South Africa,2016,lemons,0.1062907874584198
South Africa,2016,mandarins,0.0
South Africa,2016,oranges,0.0
South Africa,2017,clementines,0.0
South Africa,2017,lemons,0.0501183308660984
South Africa,2017,mandarins,0.0
South Africa,2017,oranges,0.1044704020023346
South Africa,2018,clementines,0.0
South Africa,2018,lemons,0.04936498776078224
South Africa,2018,mandarins,0.0
South Africa,2018,oranges,0.1137234196066856
South Africa,2019,clementines,0.0
South Africa,2019,lemons,0.09249059110879898
South Africa,2019,mandarins,0.0
South Africa,2019,oranges,0.2195380032062531
South Africa,2020,clementines,0.05389248579740524
South Africa,2020,lemons,0.1004820317029953
South Africa,2020,mandarins,0.03204131871461868
South Africa,2020,oranges,0.06599999964237213
South Africa,2021,clementines,0.05024495720863342
South Africa,2021,lemons,0.1020468771457672
South Africa,2021,mandarins,0.03029400855302811
South Africa,2021,oranges,0.2241189926862717
South Africa,2022,clementines,0.0
South Africa,2022,lemons,0.10421422123909
South Africa,2022,mandarins,0.0
South Africa,2022,oranges,0.2194561809301376
South Africa,2023,clementines,0.0
South Africa,2023,lemons,0.064
South Africa,2023,mandarins,0.0
South Africa,2023,oranges,0.043
South Africa,2024,clementines,0.0
South Africa,2024,lemons,0.06
South Africa,2024,mandarins,0.0
South Africa,2024,oranges,0.038
