year,weekNumber,location,product,price_per_kg,posting_date,spain_dgroup,spain_dsubgroup,spain_dtype,spain_dsubtype,spain_total_damage,spain_ppl_affected,spain_dcount,spain_no_disaster,egypt_dgroup,egypt_dsubgroup,egypt_dtype,egypt_dsubtype,egypt_total_damage,egypt_ppl_affected,egypt_dcount,egypt_no_disaster,south africa_dgroup,south africa_dsubgroup,south africa_dtype,south africa_dsubtype,south africa_total_damage,south africa_ppl_affected,south africa_dcount,south africa_no_disaster,egypt_max_temp,egypt_min_temp,egypt_precipitation,egypt_rain,egypt_wind_speed,egypt_sunshine,south africa_max_temp,south africa_min_temp,south africa_precipitation,south africa_rain,south africa_wind_speed,south africa_sunshine,spain_max_temp,spain_min_temp,spain_precipitation,spain_rain,spain_wind_speed,spain_sunshine,egypt_tariff,sa_tariff
2004,1,European Union,lemons,0.3247,2003-12-29,,,,,,,,,,,,,,,,,Technological,Transport,Road,Road,,13.0,1,1.0,30.87318181818182,17.318454545454546,14.0,0.012727272727272728,17.540181818181818,40356.78207272728,24.203151515151514,13.527151515151514,910.1,1.1031515151515152,17.105575757575757,34196.0204969697,24.879168831168833,16.021662337662338,2298.2,1.1938701298701297,17.158857142857144,38639.25994805195,,
2004,1,European Union,mandarins,0.863,2003-12-29,,,,,,,,,,,,,,,,,Technological,Transport,Road,Road,,13.0,1,1.0,30.87318181818182,17.318454545454546,14.0,0.012727272727272728,17.540181818181818,40356.78207272728,24.203151515151514,13.527151515151514,910.1,1.1031515151515152,17.105575757575757,34196.0204969697,24.879168831168833,16.021662337662338,2298.2,1.1938701298701297,17.158857142857144,38639.25994805195,,
2004,2,European Union,clementines,0.4515,2004-01-05,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.644272727272725,17.175727272727272,14.0,0.012727272727272728,17.457272727272727,40176.930481818184,24.1670303030303,13.552363636363637,951.0,1.1527272727272728,17.144727272727273,34119.11421818182,24.78503896103896,15.961766233766234,2246.0,1.1667532467532467,17.13974025974026,38420.591859740256,,
2004,2,European Union,lemons,0.4002,2004-01-05,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.644272727272725,17.175727272727272,14.0,0.012727272727272728,17.457272727272727,40176.930481818184,24.1670303030303,13.552363636363637,951.0,1.1527272727272728,17.144727272727273,34119.11421818182,24.78503896103896,15.961766233766234,2246.0,1.1667532467532467,17.13974025974026,38420.591859740256,,
2004,2,European Union,mandarins,0.4527,2004-01-05,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.644272727272725,17.175727272727272,14.0,0.012727272727272728,17.457272727272727,40176.930481818184,24.1670303030303,13.552363636363637,951.0,1.1527272727272728,17.144727272727273,34119.11421818182,24.78503896103896,15.961766233766234,2246.0,1.1667532467532467,17.13974025974026,38420.591859740256,,
2004,2,European Union,oranges,0.32235,2004-01-05,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.644272727272725,17.175727272727272,14.0,0.012727272727272728,17.457272727272727,40176.930481818184,24.1670303030303,13.552363636363637,951.0,1.1527272727272728,17.144727272727273,34119.11421818182,24.78503896103896,15.961766233766234,2246.0,1.1667532467532467,17.13974025974026,38420.591859740256,,
2004,3,European Union,clementines,0.5037,2004-01-12,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.392454545454545,17.030545454545454,20.4,0.018545454545454546,17.39190909090909,39953.65808181818,24.214666666666666,13.59369696969697,987.8,1.1973333333333334,17.14109090909091,34325.352812121215,24.7254025974026,15.917246753246754,2244.7,1.166077922077922,16.963896103896104,38086.292400000006,,
2004,3,European Union,lemons,0.3346,2004-01-12,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.392454545454545,17.030545454545454,20.4,0.018545454545454546,17.39190909090909,39953.65808181818,24.214666666666666,13.59369696969697,987.8,1.1973333333333334,17.14109090909091,34325.352812121215,24.7254025974026,15.917246753246754,2244.7,1.166077922077922,16.963896103896104,38086.292400000006,,
2004,3,European Union,mandarins,0.3983,2004-01-12,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.392454545454545,17.030545454545454,20.4,0.018545454545454546,17.39190909090909,39953.65808181818,24.214666666666666,13.59369696969697,987.8,1.1973333333333334,17.14109090909091,34325.352812121215,24.7254025974026,15.917246753246754,2244.7,1.166077922077922,16.963896103896104,38086.292400000006,,
2004,3,European Union,oranges,0.3429333333333333,2004-01-12,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.392454545454545,17.030545454545454,20.4,0.018545454545454546,17.39190909090909,39953.65808181818,24.214666666666666,13.59369696969697,987.8,1.1973333333333334,17.14109090909091,34325.352812121215,24.7254025974026,15.917246753246754,2244.7,1.166077922077922,16.963896103896104,38086.292400000006,,
2004,4,European Union,clementines,0.4844,2004-01-19,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.159818181818185,16.965090909090907,45.7,0.041545454545454545,17.418,39668.33764545454,24.317575757575757,13.659030303030304,987.9,1.1974545454545453,17.169333333333334,34471.111551515154,24.67818181818182,15.847844155844156,2031.8,1.0554805194805195,16.845298701298702,37935.331693506494,,
2004,4,European Union,lemons,0.3318,2004-01-19,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.159818181818185,16.965090909090907,45.7,0.041545454545454545,17.418,39668.33764545454,24.317575757575757,13.659030303030304,987.9,1.1974545454545453,17.169333333333334,34471.111551515154,24.67818181818182,15.847844155844156,2031.8,1.0554805194805195,16.845298701298702,37935.331693506494,,
2004,4,European Union,mandarins,0.3501,2004-01-19,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.159818181818185,16.965090909090907,45.7,0.041545454545454545,17.418,39668.33764545454,24.317575757575757,13.659030303030304,987.9,1.1974545454545453,17.169333333333334,34471.111551515154,24.67818181818182,15.847844155844156,2031.8,1.0554805194805195,16.845298701298702,37935.331693506494,,
2004,4,European Union,oranges,0.2843,2004-01-19,,,,,,,,,,,,,,,,,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,30.159818181818185,16.965090909090907,45.7,0.041545454545454545,17.418,39668.33764545454,24.317575757575757,13.659030303030304,987.9,1.1974545454545453,17.169333333333334,34471.111551515154,24.67818181818182,15.847844155844156,2031.8,1.0554805194805195,16.845298701298702,37935.331693506494,,
2004,5,European Union,clementines,0.52,2004-01-26,,,,,,,,,Natural,Meteorological,Storm,Storm (General),,42.0,3,1.0,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,29.91554545454545,16.81981818181818,56.5,0.05136363636363636,17.507727272727273,39459.94856363637,24.340969696969697,13.773575757575758,1213.2,1.4705454545454546,17.203515151515152,34301.40109090909,24.604831168831172,15.722025974025975,1947.3,1.0115844155844156,16.781766233766234,37715.97178701298,,
2004,5,European Union,lemons,0.3268,2004-01-26,,,,,,,,,Natural,Meteorological,Storm,Storm (General),,42.0,3,1.0,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,29.91554545454545,16.81981818181818,56.5,0.05136363636363636,17.507727272727273,39459.94856363637,24.340969696969697,13.773575757575758,1213.2,1.4705454545454546,17.203515151515152,34301.40109090909,24.604831168831172,15.722025974025975,1947.3,1.0115844155844156,16.781766233766234,37715.97178701298,,
2004,5,European Union,mandarins,0.3844,2004-01-26,,,,,,,,,Natural,Meteorological,Storm,Storm (General),,42.0,3,1.0,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,29.91554545454545,16.81981818181818,56.5,0.05136363636363636,17.507727272727273,39459.94856363637,24.340969696969697,13.773575757575758,1213.2,1.4705454545454546,17.203515151515152,34301.40109090909,24.604831168831172,15.722025974025975,1947.3,1.0115844155844156,16.781766233766234,37715.97178701298,,
2004,5,European Union,oranges,0.2893666666666667,2004-01-26,,,,,,,,,Natural,Meteorological,Storm,Storm (General),,42.0,3,1.0,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,29.91554545454545,16.81981818181818,56.5,0.05136363636363636,17.507727272727273,39459.94856363637,24.340969696969697,13.773575757575758,1213.2,1.4705454545454546,17.203515151515152,34301.40109090909,24.604831168831172,15.722025974025975,1947.3,1.0115844155844156,16.781766233766234,37715.97178701298,,
2004,6,European Union,clementines,0.5043,2004-02-02,,,,,,,,,Natural,Meteorological,Storm,Storm (General),,42.0,3,1.0,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,29.720289855072462,16.692481884057973,58.0,0.05253623188405797,17.433876811594203,39226.951820652175,24.38997584541063,13.869202898550725,1235.5,1.4921497584541064,17.288405797101447,34424.69229468599,24.442080745341613,15.599378881987578,1983.6,1.0267080745341615,16.782971014492755,37417.03190993789,,
2004,6,European Union,lemons,0.3103,2004-02-02,,,,,,,,,Natural,Meteorological,Storm,Storm (General),,42.0,3,1.0,Natural,Climatological,Drought,Drought,,15000000.0,3,4.0,29.720289855072462,16.692481884057973,58.0,0.05253623188405797,17.433876811594203,39226.951820652175,24.38997584541063,13.869202898550725,1235.5,1.4921497584541064,17.288405797101447,34424.69229468599,24.442080745341613,15.599378881987578,1983.6,1.0267080745341615,16.782971014492755,37417.03190993789,,
